n,theta_rad,theta_deg,axis,target_qubit,error_position,average_success,average_std_error_if_sampled,shots_reference
1,0.03490658503988659,2.0,X,0,E4_after_final_H,0.9996954135095475,0.0005453046359768779,1024
1,0.03490658503988659,2.0,X,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.03490658503988659,2.0,Y,0,E1_before_H,0.9996954135095474,0.0005453046359770105,1024
1,0.03490658503988659,2.0,Y,0,E2_after_first_H,0.9996954135095474,0.0005453046359770105,1024
1,0.03490658503988659,2.0,Y,0,E3_after_oracle,0.9996954135095474,0.0005453046359770105,1024
1,0.03490658503988659,2.0,Y,0,E4_after_final_H,0.9996954135095475,0.0005453046359768779,1024
1,0.03490658503988659,2.0,Y,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.03490658503988659,2.0,Z,0,E1_before_H,0.9999999999999999,3.104408582051595e-10,1024
1,0.03490658503988659,2.0,Z,0,E2_after_first_H,0.9996954135095475,0.0005453046359768779,1024
1,0.03490658503988659,2.0,Z,0,E3_after_oracle,0.9996954135095475,0.0005453046359768779,1024
1,0.03490658503988659,2.0,Z,0,E4_after_final_H,0.9999999999999999,3.104408582051595e-10,1024
1,0.03490658503988659,2.0,Z,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.05235987755982989,3.0000000000000004,X,0,E1_before_H,0.9993147673772865,0.0008177493162962413,1024
1,0.05235987755982989,3.0000000000000004,X,0,E2_after_first_H,0.9999999999999997,4.390296719884794e-10,1024
1,0.05235987755982989,3.0000000000000004,X,0,E3_after_oracle,0.9999999999999997,4.390296719884794e-10,1024
1,0.05235987755982989,3.0000000000000004,X,0,E4_after_final_H,0.9993147673772865,0.0008177493162962413,1024
1,0.05235987755982989,3.0000000000000004,X,0,no_error,0.9999999999999997,4.390296719884794e-10,1024
1,0.05235987755982989,3.0000000000000004,Y,0,E1_before_H,0.9993147673772865,0.0008177493162962413,1024
1,0.05235987755982989,3.0000000000000004,Y,0,E2_after_first_H,0.9993147673772865,0.0008177493162962413,1024
1,0.05235987755982989,3.0000000000000004,Y,0,E3_after_oracle,0.9993147673772865,0.0008177493162962413,1024
1,0.05235987755982989,3.0000000000000004,Y,0,E4_after_final_H,0.9993147673772865,0.0008177493162962413,1024
