n,theta_rad,theta_deg,axis,target_qubit,error_position,P0_constant,P0_balanced,success_constant,success_balanced,average_success,shots
1,1.0471975511965976,59.99999999999999,Y,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,1.0471975511965976,59.99999999999999,Y,0,E1_before_H,0.74609375,0.263671875,0.74609375,0.736328125,0.7412109375,1024
1,1.0471975511965976,59.99999999999999,Y,0,E2_after_first_H,0.734375,0.2568359375,0.734375,0.7431640625,0.73876953125,1024
1,1.0471975511965976,59.99999999999999,Y,0,E3_after_oracle,0.7568359375,0.228515625,0.7568359375,0.771484375,0.76416015625,1024
1,1.0471975511965976,59.99999999999999,Y,0,E4_after_final_H,0.748046875,0.2451171875,0.748046875,0.7548828125,0.75146484375,1024
1,1.0471975511965976,59.99999999999999,Z,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,1.0471975511965976,59.99999999999999,Z,0,E1_before_H,1.0,0.0,1.0,1.0,1.0,1024
1,1.0471975511965976,59.99999999999999,Z,0,E2_after_first_H,0.751953125,0.23828125,0.751953125,0.76171875,0.7568359375,1024
1,1.0471975511965976,59.99999999999999,Z,0,E3_after_oracle,0.7666015625,0.271484375,0.7666015625,0.728515625,0.74755859375,1024
1,1.0471975511965976,59.99999999999999,Z,0,E4_after_final_H,1.0,0.0,1.0,1.0,1.0,1024
1,1.2217304763960306,70.0,X,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,1.2217304763960306,70.0,X,0,E1_before_H,0.6611328125,0.31640625,0.6611328125,0.68359375,0.67236328125,1024
1,1.2217304763960306,70.0,X,0,E2_after_first_H,1.0,0.0,1.0,1.0,1.0,1024
1,1.2217304763960306,70.0,X,0,E3_after_oracle,1.0,0.0,1.0,1.0,1.0,1024
1,1.2217304763960306,70.0,X,0,E4_after_final_H,0.66796875,0.337890625,0.66796875,0.662109375,0.6650390625,1024
1,1.2217304763960306,70.0,Y,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,1.2217304763960306,70.0,Y,0,E1_before_H,0.67578125,0.3271484375,0.67578125,0.6728515625,0.67431640625,1024
1,1.2217304763960306,70.0,Y,0,E2_after_first_H,0.6767578125,0.314453125,0.6767578125,0.685546875,0.68115234375,1024
1,1.2217304763960306,70.0,Y,0,E3_after_oracle,0.6787109375,0.330078125,0.6787109375,0.669921875,0.67431640625,1024
1,1.2217304763960306,70.0,Y,0,E4_after_final_H,0.6494140625,0.3310546875,0.6494140625,0.6689453125,0.6591796875,1024
1,1.2217304763960306,70.0,Z,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,1.2217304763960306,70.0,Z,0,E1_before_H,1.0,0.0,1.0,1.0,1.0,1024
1,1.2217304763960306,70.0,Z,0,E2_after_first_H,0.6767578125,0.341796875,0.6767578125,0.658203125,0.66748046875,1024
1,1.2217304763960306,70.0,Z,0,E3_after_oracle,0.685546875,0.33984375,0.685546875,0.66015625,0.6728515625,1024
1,1.2217304763960306,70.0,Z,0,E4_after_final_H,1.0,0.0,1.0,1.0,1.0,1024
1,1.3962634015954636,80.0,X,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,1.3962634015954636,80.0,X,0,E1_before_H,0.58203125,0.4296875,0.58203125,0.5703125,0.576171875,1024
1,1.3962634015954636,80.0,X,0,E2_after_first_H,1.0,0.0,1.0,1.0,1.0,1024
1,1.3962634015954636,80.0,X,0,E3_after_oracle,1.0,0.0,1.0,1.0,1.0,1024
1,1.3962634015954636,80.0,X,0,E4_after_final_H,0.5703125,0.4189453125,0.5703125,0.5810546875,0.57568359375,1024
1,1.3962634015954636,80.0,Y,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,1.3962634015954636,80.0,Y,0,E1_before_H,0.607421875,0.4072265625,0.607421875,0.5927734375,0.60009765625,1024
1,1.3962634015954636,80.0,Y,0,E2_after_first_H,0.5947265625,0.4208984375,0.5947265625,0.5791015625,0.5869140625,1024
1,1.3962634015954636,80.0,Y,0,E3_after_oracle,0.5888671875,0.42578125,0.5888671875,0.57421875,0.58154296875,1024
1,1.3962634015954636,80.0,Y,0,E4_after_final_H,0.599609375,0.427734375,0.599609375,0.572265625,0.5859375,1024
1,1.3962634015954636,80.0,Z,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,1.3962634015954636,80.0,Z,0,E1_before_H,1.0,0.0,1.0,1.0,1.0,1024
1,1.3962634015954636,80.0,Z,0,E2_after_first_H,0.576171875,0.4130859375,0.576171875,0.5869140625,0.58154296875,1024
1,1.3962634015954636,80.0,Z,0,E3_after_oracle,0.607421875,0.421875,0.607421875,0.578125,0.5927734375,1024
1,1.3962634015954636,80.0,Z,0,E4_after_final_H,1.0,0.0,1.0,1.0,1.0,1024
1,1.5707963267948966,90.0,X,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,1.5707963267948966,90.0,X,0,E1_before_H,0.509765625,0.5029296875,0.509765625,0.4970703125,0.50341796875,1024
1,1.5707963267948966,90.0,X,0,E2_after_first_H,1.0,0.0,1.0,1.0,1.0,1024
1,1.5707963267948966,90.0,X,0,E3_after_oracle,1.0,0.0,1.0,1.0,1.0,1024
1,1.5707963267948966,90.0,X,0,E4_after_final_H,0.4765625,0.49609375,0.4765625,0.50390625,0.490234375,1024
1,1.5707963267948966,90.0,Y,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,1.5707963267948966,90.0,Y,0,E1_before_H,0.5048828125,0.5302734375,0.5048828125,0.4697265625,0.4873046875,1024
1,1.5707963267948966,90.0,Y,0,E2_after_first_H,0.498046875,0.5048828125,0.498046875,0.4951171875,0.49658203125,1024
1,1.5707963267948966,90.0,Y,0,E3_after_oracle,0.4912109375,0.5107421875,0.4912109375,0.4892578125,0.490234375,1024
1,1.5707963267948966,90.0,Y,0,E4_after_final_H,0.4970703125,0.5078125,0.4970703125,0.4921875,0.49462890625,1024
1,1.5707963267948966,90.0,Z,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,1.5707963267948966,90.0,Z,0,E1_before_H,1.0,0.0,1.0,1.0,1.0,1024
1,1.5707963267948966,90.0,Z,0,E2_after_first_H,0.48046875,0.4970703125,0.48046875,0.5029296875,0.49169921875,1024
1,1.5707963267948966,90.0,Z,0,E3_after_oracle,0.5146484375,0.498046875,0.5146484375,0.501953125,0.50830078125,1024
1,1.5707963267948966,90.0,Z,0,E4_after_final_H,1.0,0.0,1.0,1.0,1.0,1024
1,1.7453292519943295,100.0,X,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,1.7453292519943295,100.0,X,0,E1_before_H,0.41015625,0.587890625,0.41015625,0.412109375,0.4111328125,1024
1,1.7453292519943295,100.0,X,0,E2_after_first_H,1.0,0.0,1.0,1.0,1.0,1024
1,1.7453292519943295,100.0,X,0,E3_after_oracle,1.0,0.0,1.0,1.0,1.0,1024
1,1.7453292519943295,100.0,X,0,E4_after_final_H,0.435546875,0.607421875,0.435546875,0.392578125,0.4140625,1024
1,1.7453292519943295,100.0,Y,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,1.7453292519943295,100.0,Y,0,E1_before_H,0.4189453125,0.5654296875,0.4189453125,0.4345703125,0.4267578125,1024
1,1.7453292519943295,100.0,Y,0,E2_after_first_H,0.39453125,0.5703125,0.39453125,0.4296875,0.412109375,1024
1,1.7453292519943295,100.0,Y,0,E3_after_oracle,0.4248046875,0.5732421875,0.4248046875,0.4267578125,0.42578125,1024
1,1.7453292519943295,100.0,Y,0,E4_after_final_H,0.431640625,0.6005859375,0.431640625,0.3994140625,0.41552734375,1024
1,1.7453292519943295,100.0,Z,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,1.7453292519943295,100.0,Z,0,E1_before_H,1.0,0.0,1.0,1.0,1.0,1024
1,1.7453292519943295,100.0,Z,0,E2_after_first_H,0.3974609375,0.5947265625,0.3974609375,0.4052734375,0.4013671875,1024
1,1.7453292519943295,100.0,Z,0,E3_after_oracle,0.4130859375,0.5791015625,0.4130859375,0.4208984375,0.4169921875,1024
1,1.7453292519943295,100.0,Z,0,E4_after_final_H,1.0,0.0,1.0,1.0,1.0,1024
1,1.9198621771937625,110.0,X,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,1.9198621771937625,110.0,X,0,E1_before_H,0.306640625,0.6708984375,0.306640625,0.3291015625,0.31787109375,1024
1,1.9198621771937625,110.0,X,0,E2_after_first_H,1.0,0.0,1.0,1.0,1.0,1024
1,1.9198621771937625,110.0,X,0,E3_after_oracle,1.0,0.0,1.0,1.0,1.0,1024
1,1.9198621771937625,110.0,X,0,E4_after_final_H,0.3076171875,0.6748046875,0.3076171875,0.3251953125,0.31640625,1024
1,1.9198621771937625,110.0,Y,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,1.9198621771937625,110.0,Y,0,E1_before_H,0.3369140625,0.6953125,0.3369140625,0.3046875,0.32080078125,1024
1,1.9198621771937625,110.0,Y,0,E2_after_first_H,0.3310546875,0.6826171875,0.3310546875,0.3173828125,0.32421875,1024
1,1.9198621771937625,110.0,Y,0,E3_after_oracle,0.333984375,0.666015625,0.333984375,0.333984375,0.333984375,1024
1,1.9198621771937625,110.0,Y,0,E4_after_final_H,0.322265625,0.658203125,0.322265625,0.341796875,0.33203125,1024
1,1.9198621771937625,110.0,Z,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,1.9198621771937625,110.0,Z,0,E1_before_H,1.0,0.0,1.0,1.0,1.0,1024
1,1.9198621771937625,110.0,Z,0,E2_after_first_H,0.3115234375,0.681640625,0.3115234375,0.318359375,0.31494140625,1024
1,1.9198621771937625,110.0,Z,0,E3_after_oracle,0.314453125,0.689453125,0.314453125,0.310546875,0.3125,1024
1,1.9198621771937625,110.0,Z,0,E4_after_final_H,1.0,0.0,1.0,1.0,1.0,1024
1,2.0943951023931953,119.99999999999999,X,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,2.0943951023931953,119.99999999999999,X,0,E1_before_H,0.27734375,0.7705078125,0.27734375,0.2294921875,0.25341796875,1024
1,2.0943951023931953,119.99999999999999,X,0,E2_after_first_H,1.0,0.0,1.0,1.0,1.0,1024
1,2.0943951023931953,119.99999999999999,X,0,E3_after_oracle,1.0,0.0,1.0,1.0,1.0,1024
1,2.0943951023931953,119.99999999999999,X,0,E4_after_final_H,0.28125,0.7705078125,0.28125,0.2294921875,0.25537109375,1024
1,2.0943951023931953,119.99999999999999,Y,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,2.0943951023931953,119.99999999999999,Y,0,E1_before_H,0.2314453125,0.728515625,0.2314453125,0.271484375,0.25146484375,1024
1,2.0943951023931953,119.99999999999999,Y,0,E2_after_first_H,0.26171875,0.75,0.26171875,0.25,0.255859375,1024
1,2.0943951023931953,119.99999999999999,Y,0,E3_after_oracle,0.2421875,0.765625,0.2421875,0.234375,0.23828125,1024
1,2.0943951023931953,119.99999999999999,Y,0,E4_after_final_H,0.234375,0.7490234375,0.234375,0.2509765625,0.24267578125,1024
1,2.0943951023931953,119.99999999999999,Z,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,2.0943951023931953,119.99999999999999,Z,0,E1_before_H,1.0,0.0,1.0,1.0,1.0,1024
1,2.0943951023931953,119.99999999999999,Z,0,E2_after_first_H,0.216796875,0.7626953125,0.216796875,0.2373046875,0.22705078125,1024
1,2.0943951023931953,119.99999999999999,Z,0,E3_after_oracle,0.2509765625,0.74609375,0.2509765625,0.25390625,0.25244140625,1024
1,2.0943951023931953,119.99999999999999,Z,0,E4_after_final_H,1.0,0.0,1.0,1.0,1.0,1024
1,2.2689280275926285,130.0,X,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,2.2689280275926285,130.0,X,0,E1_before_H,0.1533203125,0.806640625,0.1533203125,0.193359375,0.17333984375,1024
1,2.2689280275926285,130.0,X,0,E2_after_first_H,1.0,0.0,1.0,1.0,1.0,1024
1,2.2689280275926285,130.0,X,0,E3_after_oracle,1.0,0.0,1.0,1.0,1.0,1024
1,2.2689280275926285,130.0,X,0,E4_after_final_H,0.1962890625,0.8232421875,0.1962890625,0.1767578125,0.1865234375,1024
1,2.2689280275926285,130.0,Y,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,2.2689280275926285,130.0,Y,0,E1_before_H,0.158203125,0.810546875,0.158203125,0.189453125,0.173828125,1024
1,2.2689280275926285,130.0,Y,0,E2_after_first_H,0.181640625,0.8251953125,0.181640625,0.1748046875,0.17822265625,1024
1,2.2689280275926285,130.0,Y,0,E3_after_oracle,0.16015625,0.806640625,0.16015625,0.193359375,0.1767578125,1024
1,2.2689280275926285,130.0,Y,0,E4_after_final_H,0.177734375,0.83984375,0.177734375,0.16015625,0.1689453125,1024
1,2.2689280275926285,130.0,Z,0,no_error,1.0,0.0,1.0,1.0,1.0,1024
1,2.2689280275926285,130.0,Z,0,E1_before_H,1.0,0.0,1.0,1.0,1.0,1024
1,2.2689280275926285,130.0,Z,0,E2_after_first_H,0.1962890625,0.828125,0.1962890625,0.171875,0.18408203125,1024
1,2.2689280275926285,130.0,Z,0,E3_after_oracle,0.1923828125,0.822265625,0.1923828125,0.177734375,0.18505859375,1024
