n,theta_rad,theta_deg,axis,target_qubit,function,error_position,P0,success_probability,std_error,shots
1,0.13962634015954636,8.0,X,0,constant_0,E2_after_first_H,1.0,1.0,0.0,1024
1,0.13962634015954636,8.0,X,0,constant_0,E3_after_oracle,1.0,1.0,0.0,1024
1,0.13962634015954636,8.0,X,0,constant_0,E4_after_final_H,0.9990234375,0.9990234375,0.0009760855463695969,1024
1,0.13962634015954636,8.0,Y,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.13962634015954636,8.0,Y,0,constant_0,E1_before_H,0.9921875,0.9921875,0.0027513251146446885,1024
1,0.13962634015954636,8.0,Y,0,constant_0,E2_after_first_H,0.9990234375,0.9990234375,0.0009760855463695969,1024
1,0.13962634015954636,8.0,Y,0,constant_0,E3_after_oracle,0.9990234375,0.9990234375,0.0009760855463695969,1024
1,0.13962634015954636,8.0,Y,0,constant_0,E4_after_final_H,0.9921875,0.9921875,0.0027513251146446885,1024
1,0.13962634015954636,8.0,Z,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.13962634015954636,8.0,Z,0,constant_0,E1_before_H,1.0,1.0,0.0,1024
1,0.13962634015954636,8.0,Z,0,constant_0,E2_after_first_H,0.99609375,0.99609375,0.0019493065701503066,1024
1,0.13962634015954636,8.0,Z,0,constant_0,E3_after_oracle,0.9921875,0.9921875,0.0027513251146446885,1024
1,0.13962634015954636,8.0,Z,0,constant_0,E4_after_final_H,1.0,1.0,0.0,1024
1,0.15707963267948966,9.0,X,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.15707963267948966,9.0,X,0,constant_0,E1_before_H,0.994140625,0.994140625,0.002385061484689932,1024
1,0.15707963267948966,9.0,X,0,constant_0,E2_after_first_H,1.0,1.0,0.0,1024
1,0.15707963267948966,9.0,X,0,constant_0,E3_after_oracle,1.0,1.0,0.0,1024
1,0.15707963267948966,9.0,X,0,constant_0,E4_after_final_H,0.990234375,0.990234375,0.003073045867962428,1024
1,0.15707963267948966,9.0,Y,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.15707963267948966,9.0,Y,0,constant_0,E1_before_H,0.99609375,0.99609375,0.0019493065701503066,1024
1,0.15707963267948966,9.0,Y,0,constant_0,E2_after_first_H,0.994140625,0.994140625,0.002385061484689932,1024
1,0.15707963267948966,9.0,Y,0,constant_0,E3_after_oracle,0.9912109375,0.9912109375,0.002916784482801634,1024
1,0.15707963267948966,9.0,Y,0,constant_0,E4_after_final_H,0.99609375,0.99609375,0.0019493065701503066,1024
1,0.15707963267948966,9.0,Z,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.15707963267948966,9.0,Z,0,constant_0,E1_before_H,1.0,1.0,0.0,1024
1,0.15707963267948966,9.0,Z,0,constant_0,E2_after_first_H,0.9892578125,0.9892578125,0.0032214480360453243,1024
1,0.15707963267948966,9.0,Z,0,constant_0,E3_after_oracle,0.998046875,0.998046875,0.001379718573664223,1024
1,0.15707963267948966,9.0,Z,0,constant_0,E4_after_final_H,1.0,1.0,0.0,1024
1,0.17453292519943295,10.0,X,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.17453292519943295,10.0,X,0,constant_0,E1_before_H,0.994140625,0.994140625,0.002385061484689932,1024
1,0.17453292519943295,10.0,X,0,constant_0,E2_after_first_H,1.0,1.0,0.0,1024
1,0.17453292519943295,10.0,X,0,constant_0,E3_after_oracle,1.0,1.0,0.0,1024
1,0.17453292519943295,10.0,X,0,constant_0,E4_after_final_H,0.994140625,0.994140625,0.002385061484689932,1024
1,0.17453292519943295,10.0,Y,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.17453292519943295,10.0,Y,0,constant_0,E1_before_H,0.990234375,0.990234375,0.003073045867962428,1024
