n,theta_rad,theta_deg,axis,target_qubit,function,error_position,P0,success,shots
1,0.5235987755982988,29.999999999999996,X,0,constant_0,E2_after_first_H,1.0,1.0,1024
1,0.5235987755982988,29.999999999999996,X,0,constant_0,E3_after_oracle,1.0,1.0,1024
1,0.5235987755982988,29.999999999999996,X,0,constant_0,E4_after_final_H,0.931640625,0.931640625,1024
1,0.5235987755982988,29.999999999999996,X,0,constant_1,no_error,1.0,1.0,1024
1,0.5235987755982988,29.999999999999996,X,0,constant_1,E1_before_H,0.943359375,0.943359375,1024
1,0.5235987755982988,29.999999999999996,X,0,constant_1,E2_after_first_H,1.0,1.0,1024
1,0.5235987755982988,29.999999999999996,X,0,constant_1,E3_after_oracle,1.0,1.0,1024
1,0.5235987755982988,29.999999999999996,X,0,constant_1,E4_after_final_H,0.93359375,0.93359375,1024
1,0.5235987755982988,29.999999999999996,X,0,balanced,no_error,0.0,1.0,1024
1,0.5235987755982988,29.999999999999996,X,0,balanced,E1_before_H,0.0537109375,0.9462890625,1024
1,0.5235987755982988,29.999999999999996,X,0,balanced,E2_after_first_H,0.0,1.0,1024
1,0.5235987755982988,29.999999999999996,X,0,balanced,E3_after_oracle,0.0,1.0,1024
1,0.5235987755982988,29.999999999999996,X,0,balanced,E4_after_final_H,0.072265625,0.927734375,1024
1,0.5235987755982988,29.999999999999996,Y,0,constant_0,no_error,1.0,1.0,1024
1,0.5235987755982988,29.999999999999996,Y,0,constant_0,E1_before_H,0.943359375,0.943359375,1024
1,0.5235987755982988,29.999999999999996,Y,0,constant_0,E2_after_first_H,0.94140625,0.94140625,1024
1,0.5235987755982988,29.999999999999996,Y,0,constant_0,E3_after_oracle,0.923828125,0.923828125,1024
1,0.5235987755982988,29.999999999999996,Y,0,constant_0,E4_after_final_H,0.9404296875,0.9404296875,1024
1,0.5235987755982988,29.999999999999996,Y,0,constant_1,no_error,1.0,1.0,1024
1,0.5235987755982988,29.999999999999996,Y,0,constant_1,E1_before_H,0.9287109375,0.9287109375,1024
1,0.5235987755982988,29.999999999999996,Y,0,constant_1,E2_after_first_H,0.931640625,0.931640625,1024
1,0.5235987755982988,29.999999999999996,Y,0,constant_1,E3_after_oracle,0.9296875,0.9296875,1024
1,0.5235987755982988,29.999999999999996,Y,0,constant_1,E4_after_final_H,0.9423828125,0.9423828125,1024
1,0.5235987755982988,29.999999999999996,Y,0,balanced,no_error,0.0,1.0,1024
1,0.5235987755982988,29.999999999999996,Y,0,balanced,E1_before_H,0.0751953125,0.9248046875,1024
1,0.5235987755982988,29.999999999999996,Y,0,balanced,E2_after_first_H,0.060546875,0.939453125,1024
1,0.5235987755982988,29.999999999999996,Y,0,balanced,E3_after_oracle,0.0615234375,0.9384765625,1024
1,0.5235987755982988,29.999999999999996,Y,0,balanced,E4_after_final_H,0.0673828125,0.9326171875,1024
1,0.5235987755982988,29.999999999999996,Z,0,constant_0,no_error,1.0,1.0,1024
1,0.5235987755982988,29.999999999999996,Z,0,constant_0,E1_before_H,1.0,1.0,1024
1,0.5235987755982988,29.999999999999996,Z,0,constant_0,E2_after_first_H,0.9482421875,0.9482421875,1024
1,0.5235987755982988,29.999999999999996,Z,0,constant_0,E3_after_oracle,0.947265625,0.947265625,1024
1,0.5235987755982988,29.999999999999996,Z,0,constant_0,E4_after_final_H,1.0,1.0,1024
1,0.5235987755982988,29.999999999999996,Z,0,constant_1,no_error,1.0,1.0,1024
1,0.5235987755982988,29.999999999999996,Z,0,constant_1,E1_before_H,1.0,1.0,1024
1,0.5235987755982988,29.999999999999996,Z,0,constant_1,E2_after_first_H,0.939453125,0.939453125,1024
1,0.5235987755982988,29.999999999999996,Z,0,constant_1,E3_after_oracle,0.9404296875,0.9404296875,1024
1,0.5235987755982988,29.999999999999996,Z,0,constant_1,E4_after_final_H,1.0,1.0,1024
1,0.5235987755982988,29.999999999999996,Z,0,balanced,no_error,0.0,1.0,1024
1,0.5235987755982988,29.999999999999996,Z,0,balanced,E1_before_H,0.0,1.0,1024
1,0.5235987755982988,29.999999999999996,Z,0,balanced,E2_after_first_H,0.0712890625,0.9287109375,1024
1,0.5235987755982988,29.999999999999996,Z,0,balanced,E3_after_oracle,0.0595703125,0.9404296875,1024
1,0.5235987755982988,29.999999999999996,Z,0,balanced,E4_after_final_H,0.0,1.0,1024
1,0.6981317007977318,40.0,X,0,constant_0,no_error,1.0,1.0,1024
1,0.6981317007977318,40.0,X,0,constant_0,E1_before_H,0.8896484375,0.8896484375,1024
1,0.6981317007977318,40.0,X,0,constant_0,E2_after_first_H,1.0,1.0,1024
1,0.6981317007977318,40.0,X,0,constant_0,E3_after_oracle,1.0,1.0,1024
1,0.6981317007977318,40.0,X,0,constant_0,E4_after_final_H,0.87890625,0.87890625,1024
1,0.6981317007977318,40.0,X,0,constant_1,no_error,1.0,1.0,1024
1,0.6981317007977318,40.0,X,0,constant_1,E1_before_H,0.875,0.875,1024
1,0.6981317007977318,40.0,X,0,constant_1,E2_after_first_H,1.0,1.0,1024
1,0.6981317007977318,40.0,X,0,constant_1,E3_after_oracle,1.0,1.0,1024
1,0.6981317007977318,40.0,X,0,constant_1,E4_after_final_H,0.8935546875,0.8935546875,1024
1,0.6981317007977318,40.0,X,0,balanced,no_error,0.0,1.0,1024
1,0.6981317007977318,40.0,X,0,balanced,E1_before_H,0.1201171875,0.8798828125,1024
1,0.6981317007977318,40.0,X,0,balanced,E2_after_first_H,0.0,1.0,1024
1,0.6981317007977318,40.0,X,0,balanced,E3_after_oracle,0.0,1.0,1024
