n,p,target_qubit,function,error_position,P0,success,shots
9,0.75,4,constant_0,D(P)2_after_first_H,0.63916015625,0.63916015625,2048
9,0.75,4,constant_0,D(P)3_after_oracle,0.63623046875,0.63623046875,2048
9,0.75,4,constant_0,D(P)4_after_final_H,0.634765625,0.634765625,2048
9,0.8,4,constant_0,no_error,1.0,1.0,2048
9,0.8,4,constant_0,D(P)1_before_H,0.607421875,0.607421875,2048
9,0.8,4,constant_0,D(P)2_after_first_H,0.603515625,0.603515625,2048
9,0.8,4,constant_0,D(P)3_after_oracle,0.58935546875,0.58935546875,2048
9,0.8,4,constant_0,D(P)4_after_final_H,0.583984375,0.583984375,2048
9,0.8500000000000001,4,constant_0,no_error,1.0,1.0,2048
9,0.8500000000000001,4,constant_0,D(P)1_before_H,0.55712890625,0.55712890625,2048
9,0.8500000000000001,4,constant_0,D(P)2_after_first_H,0.57861328125,0.57861328125,2048
9,0.8500000000000001,4,constant_0,D(P)3_after_oracle,0.5771484375,0.5771484375,2048
9,0.8500000000000001,4,constant_0,D(P)4_after_final_H,0.587890625,0.587890625,2048
9,0.9,4,constant_0,no_error,1.0,1.0,2048
9,0.9,4,constant_0,D(P)1_before_H,0.55517578125,0.55517578125,2048
9,0.9,4,constant_0,D(P)2_after_first_H,0.5576171875,0.5576171875,2048
9,0.9,4,constant_0,D(P)3_after_oracle,0.55322265625,0.55322265625,2048
9,0.9,4,constant_0,D(P)4_after_final_H,0.5556640625,0.5556640625,2048
9,0.9500000000000001,4,constant_0,no_error,1.0,1.0,2048
9,0.9500000000000001,4,constant_0,D(P)1_before_H,0.50732421875,0.50732421875,2048
9,0.9500000000000001,4,constant_0,D(P)2_after_first_H,0.548828125,0.548828125,2048
9,0.9500000000000001,4,constant_0,D(P)3_after_oracle,0.51708984375,0.51708984375,2048
9,0.9500000000000001,4,constant_0,D(P)4_after_final_H,0.51708984375,0.51708984375,2048
9,1.0,4,constant_0,no_error,1.0,1.0,2048
9,1.0,4,constant_0,D(P)1_before_H,0.4912109375,0.4912109375,2048
9,1.0,4,constant_0,D(P)2_after_first_H,0.48779296875,0.48779296875,2048
9,1.0,4,constant_0,D(P)3_after_oracle,0.529296875,0.529296875,2048
9,1.0,4,constant_0,D(P)4_after_final_H,0.53466796875,0.53466796875,2048
9,0.0,4,balanced_parity,no_error,0.0,1.0,2048
9,0.0,4,balanced_parity,D(P)1_before_H,0.0,1.0,2048
9,0.0,4,balanced_parity,D(P)2_after_first_H,0.0,1.0,2048
9,0.0,4,balanced_parity,D(P)3_after_oracle,0.0,1.0,2048
9,0.0,4,balanced_parity,D(P)4_after_final_H,0.0,1.0,2048
9,0.05,4,balanced_parity,no_error,0.0,1.0,2048
9,0.05,4,balanced_parity,D(P)1_before_H,0.0,1.0,2048
9,0.05,4,balanced_parity,D(P)2_after_first_H,0.0,1.0,2048
9,0.05,4,balanced_parity,D(P)3_after_oracle,0.0,1.0,2048
9,0.05,4,balanced_parity,D(P)4_after_final_H,0.0,1.0,2048
9,0.1,4,balanced_parity,no_error,0.0,1.0,2048
9,0.1,4,balanced_parity,D(P)1_before_H,0.0,1.0,2048
9,0.1,4,balanced_parity,D(P)2_after_first_H,0.0,1.0,2048
9,0.1,4,balanced_parity,D(P)3_after_oracle,0.0,1.0,2048
9,0.1,4,balanced_parity,D(P)4_after_final_H,0.0,1.0,2048
9,0.15000000000000002,4,balanced_parity,no_error,0.0,1.0,2048
9,0.15000000000000002,4,balanced_parity,D(P)1_before_H,0.0,1.0,2048
9,0.15000000000000002,4,balanced_parity,D(P)2_after_first_H,0.0,1.0,2048
9,0.15000000000000002,4,balanced_parity,D(P)3_after_oracle,0.0,1.0,2048
9,0.15000000000000002,4,balanced_parity,D(P)4_after_final_H,0.0,1.0,2048
9,0.2,4,balanced_parity,no_error,0.0,1.0,2048
9,0.2,4,balanced_parity,D(P)1_before_H,0.0,1.0,2048
9,0.2,4,balanced_parity,D(P)2_after_first_H,0.0,1.0,2048
9,0.2,4,balanced_parity,D(P)3_after_oracle,0.0,1.0,2048
9,0.2,4,balanced_parity,D(P)4_after_final_H,0.0,1.0,2048
9,0.25,4,balanced_parity,no_error,0.0,1.0,2048
9,0.25,4,balanced_parity,D(P)1_before_H,0.0,1.0,2048
9,0.25,4,balanced_parity,D(P)2_after_first_H,0.0,1.0,2048
9,0.25,4,balanced_parity,D(P)3_after_oracle,0.0,1.0,2048
9,0.25,4,balanced_parity,D(P)4_after_final_H,0.0,1.0,2048
9,0.30000000000000004,4,balanced_parity,no_error,0.0,1.0,2048
9,0.30000000000000004,4,balanced_parity,D(P)1_before_H,0.0,1.0,2048
9,0.30000000000000004,4,balanced_parity,D(P)2_after_first_H,0.0,1.0,2048
9,0.30000000000000004,4,balanced_parity,D(P)3_after_oracle,0.0,1.0,2048
9,0.30000000000000004,4,balanced_parity,D(P)4_after_final_H,0.0,1.0,2048
9,0.35000000000000003,4,balanced_parity,no_error,0.0,1.0,2048
9,0.35000000000000003,4,balanced_parity,D(P)1_before_H,0.0,1.0,2048
9,0.35000000000000003,4,balanced_parity,D(P)2_after_first_H,0.0,1.0,2048
9,0.35000000000000003,4,balanced_parity,D(P)3_after_oracle,0.0,1.0,2048
9,0.35000000000000003,4,balanced_parity,D(P)4_after_final_H,0.0,1.0,2048
9,0.4,4,balanced_parity,no_error,0.0,1.0,2048
9,0.4,4,balanced_parity,D(P)1_before_H,0.0,1.0,2048
9,0.4,4,balanced_parity,D(P)2_after_first_H,0.0,1.0,2048
9,0.4,4,balanced_parity,D(P)3_after_oracle,0.0,1.0,2048
9,0.4,4,balanced_parity,D(P)4_after_final_H,0.0,1.0,2048
9,0.45,4,balanced_parity,no_error,0.0,1.0,2048
9,0.45,4,balanced_parity,D(P)1_before_H,0.0,1.0,2048
9,0.45,4,balanced_parity,D(P)2_after_first_H,0.0,1.0,2048
9,0.45,4,balanced_parity,D(P)3_after_oracle,0.0,1.0,2048
9,0.45,4,balanced_parity,D(P)4_after_final_H,0.0,1.0,2048
9,0.5,4,balanced_parity,no_error,0.0,1.0,2048
9,0.5,4,balanced_parity,D(P)1_before_H,0.0,1.0,2048
9,0.5,4,balanced_parity,D(P)2_after_first_H,0.0,1.0,2048
9,0.5,4,balanced_parity,D(P)3_after_oracle,0.0,1.0,2048
9,0.5,4,balanced_parity,D(P)4_after_final_H,0.0,1.0,2048
9,0.55,4,balanced_parity,no_error,0.0,1.0,2048
9,0.55,4,balanced_parity,D(P)1_before_H,0.0,1.0,2048
9,0.55,4,balanced_parity,D(P)2_after_first_H,0.0,1.0,2048
9,0.55,4,balanced_parity,D(P)3_after_oracle,0.0,1.0,2048
9,0.55,4,balanced_parity,D(P)4_after_final_H,0.0,1.0,2048
9,0.6000000000000001,4,balanced_parity,no_error,0.0,1.0,2048
9,0.6000000000000001,4,balanced_parity,D(P)1_before_H,0.0,1.0,2048
9,0.6000000000000001,4,balanced_parity,D(P)2_after_first_H,0.0,1.0,2048
9,0.6000000000000001,4,balanced_parity,D(P)3_after_oracle,0.0,1.0,2048
9,0.6000000000000001,4,balanced_parity,D(P)4_after_final_H,0.0,1.0,2048
9,0.65,4,balanced_parity,no_error,0.0,1.0,2048
9,0.65,4,balanced_parity,D(P)1_before_H,0.0,1.0,2048
9,0.65,4,balanced_parity,D(P)2_after_first_H,0.0,1.0,2048
9,0.65,4,balanced_parity,D(P)3_after_oracle,0.0,1.0,2048
9,0.65,4,balanced_parity,D(P)4_after_final_H,0.0,1.0,2048
9,0.7000000000000001,4,balanced_parity,no_error,0.0,1.0,2048
9,0.7000000000000001,4,balanced_parity,D(P)1_before_H,0.0,1.0,2048
9,0.7000000000000001,4,balanced_parity,D(P)2_after_first_H,0.0,1.0,2048
9,0.7000000000000001,4,balanced_parity,D(P)3_after_oracle,0.0,1.0,2048
9,0.7000000000000001,4,balanced_parity,D(P)4_after_final_H,0.0,1.0,2048
9,0.75,4,balanced_parity,no_error,0.0,1.0,2048
9,0.75,4,balanced_parity,D(P)1_before_H,0.0,1.0,2048
9,0.75,4,balanced_parity,D(P)2_after_first_H,0.0,1.0,2048
9,0.75,4,balanced_parity,D(P)3_after_oracle,0.0,1.0,2048
9,0.75,4,balanced_parity,D(P)4_after_final_H,0.0,1.0,2048
9,0.8,4,balanced_parity,no_error,0.0,1.0,2048
9,0.8,4,balanced_parity,D(P)1_before_H,0.0,1.0,2048
9,0.8,4,balanced_parity,D(P)2_after_first_H,0.0,1.0,2048
9,0.8,4,balanced_parity,D(P)3_after_oracle,0.0,1.0,2048
9,0.8,4,balanced_parity,D(P)4_after_final_H,0.0,1.0,2048
9,0.8500000000000001,4,balanced_parity,no_error,0.0,1.0,2048
9,0.8500000000000001,4,balanced_parity,D(P)1_before_H,0.0,1.0,2048
9,0.8500000000000001,4,balanced_parity,D(P)2_after_first_H,0.0,1.0,2048
9,0.8500000000000001,4,balanced_parity,D(P)3_after_oracle,0.0,1.0,2048
9,0.8500000000000001,4,balanced_parity,D(P)4_after_final_H,0.0,1.0,2048
9,0.9,4,balanced_parity,no_error,0.0,1.0,2048
9,0.9,4,balanced_parity,D(P)1_before_H,0.0,1.0,2048
9,0.9,4,balanced_parity,D(P)2_after_first_H,0.0,1.0,2048
9,0.9,4,balanced_parity,D(P)3_after_oracle,0.0,1.0,2048
9,0.9,4,balanced_parity,D(P)4_after_final_H,0.0,1.0,2048
9,0.9500000000000001,4,balanced_parity,no_error,0.0,1.0,2048
9,0.9500000000000001,4,balanced_parity,D(P)1_before_H,0.0,1.0,2048
9,0.9500000000000001,4,balanced_parity,D(P)2_after_first_H,0.0,1.0,2048
9,0.9500000000000001,4,balanced_parity,D(P)3_after_oracle,0.0,1.0,2048
9,0.9500000000000001,4,balanced_parity,D(P)4_after_final_H,0.0,1.0,2048
9,1.0,4,balanced_parity,no_error,0.0,1.0,2048
9,1.0,4,balanced_parity,D(P)1_before_H,0.0,1.0,2048
9,1.0,4,balanced_parity,D(P)2_after_first_H,0.0,1.0,2048
9,1.0,4,balanced_parity,D(P)3_after_oracle,0.0,1.0,2048
9,1.0,4,balanced_parity,D(P)4_after_final_H,0.0,1.0,2048
