n,theta_rad,theta_deg,axis,target_qubit,error_position,average_success,average_std_error,shots
1,0.06981317007977318,4.0,Z,0,E1_before_H,1.0,0.0,1024
1,0.06981317007977318,4.0,Z,0,E2_after_first_H,0.998046875,0.001348260150282339,1024
1,0.06981317007977318,4.0,Z,0,E3_after_oracle,0.9977213541666666,0.001435036896728042,1024
1,0.06981317007977318,4.0,Z,0,E4_after_final_H,1.0,0.0,1024
1,0.06981317007977318,4.0,Z,0,no_error,1.0,0.0,1024
1,0.08726646259971647,5.0,X,0,E1_before_H,0.9990234375,0.0007852680400112734,1024
1,0.08726646259971647,5.0,X,0,E2_after_first_H,1.0,0.0,1024
1,0.08726646259971647,5.0,X,0,E3_after_oracle,1.0,0.0,1024
1,0.08726646259971647,5.0,X,0,E4_after_final_H,0.9970703125,0.0016144614287363433,1024
1,0.08726646259971647,5.0,X,0,no_error,1.0,0.0,1024
1,0.08726646259971647,5.0,Y,0,E1_before_H,0.9970703125,0.0013580126051677098,1024
1,0.08726646259971647,5.0,Y,0,E2_after_first_H,0.9996744791666666,0.0003253618487898656,1024
1,0.08726646259971647,5.0,Y,0,E3_after_oracle,0.998046875,0.0013004925542965003,1024
1,0.08726646259971647,5.0,Y,0,E4_after_final_H,0.998046875,0.001348260150282339,1024
1,0.08726646259971647,5.0,Y,0,no_error,1.0,0.0,1024
1,0.08726646259971647,5.0,Z,0,E1_before_H,1.0,0.0,1024
1,0.08726646259971647,5.0,Z,0,E2_after_first_H,0.9986979166666666,0.0009198123824428153,1024
1,0.08726646259971647,5.0,Z,0,E3_after_oracle,0.9986979166666666,0.0008883539590609314,1024
1,0.08726646259971647,5.0,Z,0,E4_after_final_H,1.0,0.0,1024
1,0.08726646259971647,5.0,Z,0,no_error,1.0,0.0,1024
1,0.10471975511965978,6.000000000000001,X,0,E1_before_H,0.9983723958333334,0.001245174231232681,1024
1,0.10471975511965978,6.000000000000001,X,0,E2_after_first_H,1.0,0.0,1024
1,0.10471975511965978,6.000000000000001,X,0,E3_after_oracle,1.0,0.0,1024
1,0.10471975511965978,6.000000000000001,X,0,E4_after_final_H,0.9973958333333334,0.001569581239159584,1024
1,0.10471975511965978,6.000000000000001,X,0,no_error,1.0,0.0,1024
1,0.10471975511965978,6.000000000000001,Y,0,E1_before_H,0.9951171875,0.0021578361210522656,1024
1,0.10471975511965978,6.000000000000001,Y,0,E2_after_first_H,0.9967447916666666,0.0017012381751820465,1024
1,0.10471975511965978,6.000000000000001,Y,0,E3_after_oracle,0.9977213541666666,0.0014828044927138809,1024
1,0.10471975511965978,6.000000000000001,Y,0,E4_after_final_H,0.9973958333333334,0.0015858904117635392,1024
1,0.10471975511965978,6.000000000000001,Y,0,no_error,1.0,0.0,1024
1,0.10471975511965978,6.000000000000001,Z,0,E1_before_H,1.0,0.0,1024
1,0.10471975511965978,6.000000000000001,Z,0,E2_after_first_H,0.9983723958333334,0.0010228983014924735,1024
1,0.10471975511965978,6.000000000000001,Z,0,E3_after_oracle,0.9970703125,0.0016726671582092424,1024
1,0.10471975511965978,6.000000000000001,Z,0,E4_after_final_H,1.0,0.0,1024
1,0.10471975511965978,6.000000000000001,Z,0,no_error,1.0,0.0,1024
1,0.12217304763960307,7.0,X,0,E1_before_H,0.9957682291666666,0.001892239077054864,1024
1,0.12217304763960307,7.0,X,0,E2_after_first_H,1.0,0.0,1024
1,0.12217304763960307,7.0,X,0,E3_after_oracle,1.0,0.0,1024
1,0.12217304763960307,7.0,X,0,E4_after_final_H,0.99609375,0.001881196709111201,1024
